id,cve_ent,nom_ent,actividad,X,Y,
DL51,24,San Luis Potosí,Ladrillera,-100.987195,22.20122504,
DL52,24,San Luis Potosí,Ladrillera,-100.9771765,22.19473823,
DL53,24,San Luis Potosí,Ladrillera,-100.9722554,22.19060229,
DL54,24,San Luis Potosí,Ladrillera,-100.9394648,22.10522089,
DL55,24,San Luis Potosí,Ladrillera,-100.9788589,22.1910448,
DL56,24,San Luis Potosí,Ladrillera,-100.9715776,22.19112,
DL57,24,San Luis Potosí,Ladrillera,-100.9753699,22.19143243,
DL58,24,San Luis Potosí,Ladrillera,-100.9675958,22.20595556,
DL59,24,San Luis Potosí,Ladrillera,-100.9783635,22.19228004,
DL60,24,San Luis Potosí,Ladrillera,-100.979874,22.19354673,
DL61,24,San Luis Potosí,Ladrillera,-100.9777242,22.19148579,
DL62,24,San Luis Potosí,Ladrillera,-100.9715776,22.19112,
DL63,24,San Luis Potosí,Ladrillera,-100.9795426,22.19608095,
DL64,24,San Luis Potosí,Ladrillera,-100.9770394,22.1919161,
DL65,24,San Luis Potosí,Ladrillera,-100.9683794,22.21069266,
DL66,24,San Luis Potosí,Ladrillera,-100.9916446,22.20212939,
DL67,24,San Luis Potosí,Ladrillera,-100.9779655,22.19146722,
DL68,24,San Luis Potosí,Ladrillera,-100.9714082,22.19150146,
DL69,24,San Luis Potosí,Ladrillera,-100.9780885,22.19221852,
DL70,24,San Luis Potosí,Ladrillera,-100.9698083,22.19698711,
DL71,24,San Luis Potosí,Ladrillera,-100.9769814,22.19223826,
mine1,24,San Luis Potosí,mineria,-100.7957595,22.34463359,
mine2,24,San Luis Potosí,mineria,-100.9922637,22.1460138,
mine3,24,San Luis Potosí,mineria,-100.8645083,22.24105389,
mine4,24,San Luis Potosí,mineria,-100.9758417,22.16143722,
mine5,24,San Luis Potosí,mineria,-101.0190244,22.20403527,
mine6,24,San Luis Potosí,mineria,-100.9551016,22.16080865,
mine7,24,San Luis Potosí,mineria,-101.0082582,22.14439304,
mine8,24,San Luis Potosí,mineria,-100.9179752,22.11556189,
mine9,24,San Luis Potosí,mineria,-100.9984908,22.14053893,
mine10,24,San Luis Potosí,mineria,-100.9761984,22.174005,
